,Provincias,Ramas de actividad,periodo,Total
293,42 Soria,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,2491609
294,43 Tarragona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,24421364
295,43 Tarragona,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,24145441
296,44 Teruel,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3460089
297,44 Teruel,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,3356129
298,45 Toledo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,13258842
299,45 Toledo,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,12833714
300,46 Valencia/València,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,61410589
301,46 Valencia/València,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,60102432
302,47 Valladolid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,14293892
303,47 Valladolid,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,14392336
304,49 Zamora,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,3582273
305,49 Zamora,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,3400906
306,50 Zaragoza,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,27896994
307,50 Zaragoza,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,27209304
308,51 Ceuta,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,1765159
309,51 Ceuta,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,1720445
310,52 Melilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2021,1616543
311,52 Melilla,PRODUCTO INTERIOR BRUTO A PRECIOS DE MERCADO,2018,1577931
